0 0.999 0.001 0 1
19.2 -nan nan -nan -nan
19.3 nan -nan nan nan
19.4 -nan nan -nan -nan
19.5 nan -nan nan nan
19.6 -nan nan -nan -nan
19.7 nan -nan nan nan
19.8 -nan nan -nan -nan
19.9 nan -nan nan nan
20 -nan nan -nan -nan
20.1 nan -nan nan nan
20.2 -nan nan -nan -nan
20.3 nan -nan nan nan
20.4 -nan nan -nan -nan
20.5 nan -nan nan nan
20.6 -nan nan -nan -nan
20.7 nan -nan nan nan
20.8 -nan nan -nan -nan
20.9 nan -nan nan nan
21 -nan nan -nan -nan
21.1 nan -nan nan nan
21.2 -nan nan -nan -nan
21.3 nan -nan nan nan
21.4 -nan nan -nan -nan
21.5 nan -nan nan nan
21.6 -nan nan -nan -nan
21.7 nan -nan nan nan
21.8 -nan nan -nan -nan
21.9 nan -nan nan nan
22 -nan nan -nan -nan
22.1 nan -nan nan nan
22.2 -nan nan -nan -nan
22.3 nan -nan nan nan
22.4 -nan nan -nan -nan
22.5 nan -nan nan nan
22.6 -nan nan -nan -nan
22.7001 nan -nan nan nan
22.8001 -nan nan -nan -nan
22.9001 nan -nan nan nan
23.0001 -nan nan -nan -nan
23.1001 nan -nan nan nan
23.2001 -nan nan -nan -nan
23.3001 nan -nan nan nan
23.4001 -nan nan -nan -nan
23.5001 nan -nan nan nan
23.6001 -nan nan -nan -nan
23.7001 nan -nan nan nan
23.8001 -nan nan -nan -nan
23.9001 nan -nan nan nan
24.0001 -nan nan -nan -nan
24.1001 nan -nan nan nan
24.2001 -nan nan -nan -nan
24.3001 nan -nan nan nan
24.4001 -nan nan -nan -nan
24.5001 nan -nan nan nan
24.6001 -nan nan -nan -nan
24.7001 nan -nan nan nan
24.8001 -nan nan -nan -nan
24.9001 nan -nan nan nan
25.0001 -nan nan -nan -nan
25.1001 nan -nan nan nan
25.2001 -nan nan -nan -nan
25.3001 nan -nan nan nan
25.4001 -nan nan -nan -nan
25.5001 nan -nan nan nan
25.6001 -nan nan -nan -nan
25.7001 nan -nan nan nan
25.8001 -nan nan -nan -nan
25.9001 nan -nan nan nan
26.0001 -nan nan -nan -nan
26.1001 nan -nan nan nan
26.2001 -nan nan -nan -nan
26.3001 nan -nan nan nan
26.4001 -nan nan -nan -nan
26.5001 nan -nan nan nan
26.6001 -nan nan -nan -nan
26.7001 nan -nan nan nan
26.8001 -nan nan -nan -nan
26.9001 nan -nan nan nan
27.0001 -nan nan -nan -nan
27.1001 nan -nan nan nan
27.2001 -nan nan -nan -nan
27.3001 nan -nan nan nan
27.4001 -nan nan -nan -nan
27.5001 nan -nan nan nan
27.6001 -nan nan -nan -nan
27.7001 nan -nan nan nan
27.8001 -nan nan -nan -nan
27.9001 nan -nan nan nan
28.0001 -nan nan -nan -nan
28.1001 nan -nan nan nan
28.2001 -nan nan -nan -nan
28.3001 nan -nan nan nan
28.4001 -nan nan -nan -nan
28.5001 nan -nan nan nan
28.6001 -nan nan -nan -nan
28.7001 nan -nan nan nan
28.8001 -nan nan -nan -nan
28.9001 nan -nan nan nan
29.0001 -nan nan -nan -nan
29.1001 nan -nan nan nan
29.2001 -nan nan -nan -nan
29.3001 nan -nan nan nan
29.4001 -nan nan -nan -nan
29.5001 nan -nan nan nan
29.6001 -nan nan -nan -nan
29.7001 nan -nan nan nan
29.8001 -nan nan -nan -nan
29.9001 nan -nan nan nan
30.0001 -nan nan -nan -nan
30.1001 nan -nan nan nan
30.2001 -nan nan -nan -nan
30.3001 nan -nan nan nan
30.4001 -nan nan -nan -nan
30.5001 nan -nan nan nan
30.6001 -nan nan -nan -nan
30.7001 nan -nan nan nan
30.8001 -nan nan -nan -nan
30.9001 nan -nan nan nan
31.0001 -nan nan -nan -nan
31.1001 nan -nan nan nan
31.2001 -nan nan -nan -nan
31.3001 nan -nan nan nan
31.4001 -nan nan -nan -nan
31.5001 nan -nan nan nan
31.6001 -nan nan -nan -nan
31.7001 nan -nan nan nan
31.8001 -nan nan -nan -nan
31.9001 nan -nan nan nan
32.0001 -nan nan -nan -nan
32.1001 nan -nan nan nan
32.2001 -nan nan -nan -nan
32.3001 nan -nan nan nan
32.4001 -nan nan -nan -nan
32.5001 nan -nan nan nan
32.6001 -nan nan -nan -nan
32.7001 nan -nan nan nan
32.8001 -nan nan -nan -nan
32.9001 nan -nan nan nan
33.0001 -nan nan -nan -nan
33.1001 nan -nan nan nan
33.2001 -nan nan -nan -nan
33.3001 nan -nan nan nan
33.4001 -nan nan -nan -nan
33.5001 nan -nan nan nan
33.6001 -nan nan -nan -nan
33.7001 nan -nan nan nan
33.8001 -nan nan -nan -nan
33.9001 nan -nan nan nan
34.0001 -nan nan -nan -nan
34.1001 nan -nan nan nan
34.2001 -nan nan -nan -nan
34.3 nan -nan nan nan
34.4 -nan nan -nan -nan
34.5 nan -nan nan nan
34.6 -nan nan -nan -nan
34.7 nan -nan nan nan
34.8 -nan nan -nan -nan
34.9 nan -nan nan nan
35 -nan nan -nan -nan
35.1 nan -nan nan nan
35.2 -nan nan -nan -nan
35.3 nan -nan nan nan
35.4 -nan nan -nan -nan
35.5 nan -nan nan nan
35.6 -nan nan -nan -nan
35.7 nan -nan nan nan
35.8 -nan nan -nan -nan
35.9 nan -nan nan nan
36 -nan nan -nan -nan
36.1 nan -nan nan nan
36.2 -nan nan -nan -nan
36.3 nan -nan nan nan
36.4 -nan nan -nan -nan
36.5 nan -nan nan nan
36.6 -nan nan -nan -nan
36.7 nan -nan nan nan
36.8 -nan nan -nan -nan
36.9 nan -nan nan nan
37 -nan nan -nan -nan
37.1 nan -nan nan nan
37.2 -nan nan -nan -nan
37.3 nan -nan nan nan
37.4 -nan nan -nan -nan
37.5 nan -nan nan nan
37.6 -nan nan -nan -nan
37.7 nan -nan nan nan
37.8 -nan nan -nan -nan
37.9 nan -nan nan nan
38 -nan nan -nan -nan
38.1 nan -nan nan nan
38.2 -nan nan -nan -nan
38.3 nan -nan nan nan
38.4 -nan nan -nan -nan
38.5 nan -nan nan nan
38.6 -nan nan -nan -nan
38.7 nan -nan nan nan
38.8 -nan nan -nan -nan
38.9 nan -nan nan nan
39 -nan nan -nan -nan
39.1 nan -nan nan nan
39.2 -nan nan -nan -nan
39.3 nan -nan nan nan
39.4 -nan nan -nan -nan
39.5 nan -nan nan nan
39.6 -nan nan -nan -nan
39.7 nan -nan nan nan
39.8 -nan nan -nan -nan
39.9 nan -nan nan nan
40 -nan nan -nan -nan
40.1 nan -nan nan nan
40.2 -nan nan -nan -nan
40.3 nan -nan nan nan
40.4 -nan nan -nan -nan
40.5 nan -nan nan nan
40.6 -nan nan -nan -nan
40.7 nan -nan nan nan
40.7999 -nan nan -nan -nan
40.8999 nan -nan nan nan
40.9999 -nan nan -nan -nan
41.0999 nan -nan nan nan
41.1999 -nan nan -nan -nan
41.2999 nan -nan nan nan
41.3999 -nan nan -nan -nan
41.4999 nan -nan nan nan
41.5999 -nan nan -nan -nan
41.6999 nan -nan nan nan
41.7999 -nan nan -nan -nan
41.8999 nan -nan nan nan
41.9999 -nan nan -nan -nan
42.0999 nan -nan nan nan
42.1999 -nan nan -nan -nan
42.2999 nan -nan nan nan
42.3999 -nan nan -nan -nan
42.4999 nan -nan nan nan
42.5999 -nan nan -nan -nan
42.6999 nan -nan nan nan
42.7999 -nan nan -nan -nan
42.8999 nan -nan nan nan
42.9999 -nan nan -nan -nan
43.0999 nan -nan nan nan
43.1999 -nan nan -nan -nan
43.2999 nan -nan nan nan
43.3999 -nan nan -nan -nan
43.4999 nan -nan nan nan
43.5999 -nan nan -nan -nan
43.6999 nan -nan nan nan
43.7999 -nan nan -nan -nan
43.8999 nan -nan nan nan
43.9999 -nan nan -nan -nan
44.0999 nan -nan nan nan
44.1999 -nan nan -nan -nan
44.2999 nan -nan nan nan
44.3999 -nan nan -nan -nan
44.4999 nan -nan nan nan
44.5999 -nan nan -nan -nan
44.6999 nan -nan nan nan
44.7999 -nan nan -nan -nan
44.8999 nan -nan nan nan
44.9999 -nan nan -nan -nan
45.0999 nan -nan nan nan
45.1999 -nan nan -nan -nan
45.2999 nan -nan nan nan
45.3999 -nan nan -nan -nan
45.4999 nan -nan nan nan
45.5999 -nan nan -nan -nan
45.6999 nan -nan nan nan
45.7999 -nan nan -nan -nan
45.8999 nan -nan nan nan
45.9999 -nan nan -nan -nan
46.0999 nan -nan nan nan
46.1999 -nan nan -nan -nan
46.2999 nan -nan nan nan
46.3999 -nan nan -nan -nan
46.4999 nan -nan nan nan
46.5999 -nan nan -nan -nan
46.6999 nan -nan nan nan
46.7999 -nan nan -nan -nan
46.8999 nan -nan nan nan
46.9999 -nan nan -nan -nan
47.0999 nan -nan nan nan
47.1999 -nan nan -nan -nan
47.2999 nan -nan nan nan
47.3998 -nan nan -nan -nan
47.4998 nan -nan nan nan
47.5998 -nan nan -nan -nan
47.6998 nan -nan nan nan
47.7998 -nan nan -nan -nan
47.8998 nan -nan nan nan
47.9998 -nan nan -nan -nan
48.0998 nan -nan nan nan
48.1998 -nan nan -nan -nan
48.2998 nan -nan nan nan
48.3998 -nan nan -nan -nan
48.4998 nan -nan nan nan
48.5998 -nan nan -nan -nan
48.6998 nan -nan nan nan
48.7998 -nan nan -nan -nan
48.8998 nan -nan nan nan
48.9998 -nan nan -nan -nan
49.0998 nan -nan nan nan
49.1998 -nan nan -nan -nan
49.2998 nan -nan nan nan
49.3998 -nan nan -nan -nan
49.4998 nan -nan nan nan
49.5998 -nan nan -nan -nan
49.6998 nan -nan nan nan
49.7998 -nan nan -nan -nan
49.8998 nan -nan nan nan
49.9998 -nan nan -nan -nan
50.0998 nan -nan nan nan
50.1998 -nan nan -nan -nan
50.2998 nan -nan nan nan
50.3998 -nan nan -nan -nan
50.4998 nan -nan nan nan
50.5998 -nan nan -nan -nan
50.6998 nan -nan nan nan
50.7998 -nan nan -nan -nan
50.8998 nan -nan nan nan
50.9998 -nan nan -nan -nan
51.0998 nan -nan nan nan
51.1998 -nan nan -nan -nan
51.2998 nan -nan nan nan
51.3998 -nan nan -nan -nan
51.4998 nan -nan nan nan
51.5998 -nan nan -nan -nan
51.6998 nan -nan nan nan
51.7998 -nan nan -nan -nan
51.8998 nan -nan nan nan
51.9998 -nan nan -nan -nan
52.0998 nan -nan nan nan
52.1998 -nan nan -nan -nan
52.2998 nan -nan nan nan
52.3998 -nan nan -nan -nan
52.4998 nan -nan nan nan
52.5998 -nan nan -nan -nan
52.6998 nan -nan nan nan
52.7998 -nan nan -nan -nan
52.8998 nan -nan nan nan
52.9998 -nan nan -nan -nan
53.0998 nan -nan nan nan
53.1998 -nan nan -nan -nan
53.2998 nan -nan nan nan
53.3998 -nan nan -nan -nan
53.4998 nan -nan nan nan
53.5998 -nan nan -nan -nan
53.6998 nan -nan nan nan
53.7998 -nan nan -nan -nan
53.8997 nan -nan nan nan
53.9997 -nan nan -nan -nan
54.0997 nan -nan nan nan
54.1997 -nan nan -nan -nan
54.2997 nan -nan nan nan
54.3997 -nan nan -nan -nan
54.4997 nan -nan nan nan
54.5997 -nan nan -nan -nan
54.6997 nan -nan nan nan
54.7997 -nan nan -nan -nan
54.8997 nan -nan nan nan
54.9997 -nan nan -nan -nan
55.0997 nan -nan nan nan
55.1997 -nan nan -nan -nan
55.2997 nan -nan nan nan
55.3997 -nan nan -nan -nan
55.4997 nan -nan nan nan
55.5997 -nan nan -nan -nan
55.6997 nan -nan nan nan
55.7997 -nan nan -nan -nan
55.8997 nan -nan nan nan
55.9997 -nan nan -nan -nan
56.0997 nan -nan nan nan
56.1997 -nan nan -nan -nan
56.2997 nan -nan nan nan
56.3997 -nan nan -nan -nan
56.4997 nan -nan nan nan
56.5997 -nan nan -nan -nan
56.6997 nan -nan nan nan
56.7997 -nan nan -nan -nan
56.8997 nan -nan nan nan
56.9997 -nan nan -nan -nan
57.0997 nan -nan nan nan
57.1997 -nan nan -nan -nan
57.2997 nan -nan nan nan
57.3997 -nan nan -nan -nan
57.4997 nan -nan nan nan
57.5997 -nan nan -nan -nan
57.6997 nan -nan nan nan
57.7997 -nan nan -nan -nan
57.8997 nan -nan nan nan
57.9997 -nan nan -nan -nan
58.0997 nan -nan nan nan
58.1997 -nan nan -nan -nan
58.2997 nan -nan nan nan
58.3997 -nan nan -nan -nan
58.4997 nan -nan nan nan
58.5997 -nan nan -nan -nan
58.6997 nan -nan nan nan
58.7997 -nan nan -nan -nan
58.8997 nan -nan nan nan
58.9997 -nan nan -nan -nan
59.0997 nan -nan nan nan
59.1997 -nan nan -nan -nan
59.2997 nan -nan nan nan
59.3997 -nan nan -nan -nan
59.4997 nan -nan nan nan
59.5997 -nan nan -nan -nan
59.6997 nan -nan nan nan
59.7997 -nan nan -nan -nan
59.8997 nan -nan nan nan
59.9997 -nan nan -nan -nan
60.0997 nan -nan nan nan
60.1997 -nan nan -nan -nan
60.2997 nan -nan nan nan
60.3997 -nan nan -nan -nan
60.4996 nan -nan nan nan
60.5996 -nan nan -nan -nan
60.6996 nan -nan nan nan
60.7996 -nan nan -nan -nan
60.8996 nan -nan nan nan
60.9996 -nan nan -nan -nan
61.0996 nan -nan nan nan
61.1996 -nan nan -nan -nan
61.2996 nan -nan nan nan
61.3996 -nan nan -nan -nan
61.4996 nan -nan nan nan
61.5996 -nan nan -nan -nan
61.6996 nan -nan nan nan
61.7996 -nan nan -nan -nan
61.8996 nan -nan nan nan
61.9996 -nan nan -nan -nan
62.0996 nan -nan nan nan
62.1996 -nan nan -nan -nan
62.2996 nan -nan nan nan
62.3996 -nan nan -nan -nan
62.4996 nan -nan nan nan
62.5996 -nan nan -nan -nan
62.6996 nan -nan nan nan
62.7996 -nan nan -nan -nan
62.8996 nan -nan nan nan
62.9996 -nan nan -nan -nan
63.0996 nan -nan nan nan
63.1996 -nan nan -nan -nan
63.2996 nan -nan nan nan
63.3996 -nan nan -nan -nan
63.4996 nan -nan nan nan
63.5996 -nan nan -nan -nan
63.6996 nan -nan nan nan
63.7996 -nan nan -nan -nan
63.8996 nan -nan nan nan
63.9996 -nan nan -nan -nan
64.0996 nan -nan nan nan
64.1996 -nan nan -nan -nan
64.2996 nan -nan nan nan
64.3996 -nan nan -nan -nan
64.4996 nan -nan nan nan
64.5996 -nan nan -nan -nan
64.6996 nan -nan nan nan
64.7996 -nan nan -nan -nan
64.8996 nan -nan nan nan
64.9996 -nan nan -nan -nan
65.0996 nan -nan nan nan
65.1996 -nan nan -nan -nan
65.2996 nan -nan nan nan
65.3996 -nan nan -nan -nan
65.4996 nan -nan nan nan
65.5996 -nan nan -nan -nan
65.6996 nan -nan nan nan
65.7996 -nan nan -nan -nan
65.8996 nan -nan nan nan
65.9996 -nan nan -nan -nan
66.0996 nan -nan nan nan
66.1996 -nan nan -nan -nan
66.2996 nan -nan nan nan
66.3996 -nan nan -nan -nan
66.4996 nan -nan nan nan
66.5996 -nan nan -nan -nan
66.6996 nan -nan nan nan
66.7996 -nan nan -nan -nan
66.8996 nan -nan nan nan
66.9995 -nan nan -nan -nan
67.0995 nan -nan nan nan
67.1995 -nan nan -nan -nan
67.2995 nan -nan nan nan
67.3995 -nan nan -nan -nan
67.4995 nan -nan nan nan
67.5995 -nan nan -nan -nan
67.6995 nan -nan nan nan
67.7995 -nan nan -nan -nan
67.8995 nan -nan nan nan
67.9995 -nan nan -nan -nan
68.0995 nan -nan nan nan
68.1995 -nan nan -nan -nan
68.2995 nan -nan nan nan
68.3995 -nan nan -nan -nan
68.4995 nan -nan nan nan
68.5995 -nan nan -nan -nan
68.6995 nan -nan nan nan
68.7995 -nan nan -nan -nan
68.8995 nan -nan nan nan
68.9995 -nan nan -nan -nan
69.0995 nan -nan nan nan
69.1995 -nan nan -nan -nan
69.2995 nan -nan nan nan
69.3995 -nan nan -nan -nan
69.4995 nan -nan nan nan
69.5995 -nan nan -nan -nan
69.6995 nan -nan nan nan
69.7995 -nan nan -nan -nan
69.8995 nan -nan nan nan
69.9995 -nan nan -nan -nan
70.0995 nan -nan nan nan
70.1995 -nan nan -nan -nan
70.2995 nan -nan nan nan
70.3995 -nan nan -nan -nan
70.4995 nan -nan nan nan
70.5995 -nan nan -nan -nan
70.6995 nan -nan nan nan
70.7995 -nan nan -nan -nan
70.8995 nan -nan nan nan
70.9995 -nan nan -nan -nan
71.0995 nan -nan nan nan
71.1995 -nan nan -nan -nan
71.2995 nan -nan nan nan
71.3995 -nan nan -nan -nan
71.4995 nan -nan nan nan
71.5995 -nan nan -nan -nan
71.6995 nan -nan nan nan
71.7995 -nan nan -nan -nan
71.8995 nan -nan nan nan
71.9995 -nan nan -nan -nan
72.0995 nan -nan nan nan
72.1995 -nan nan -nan -nan
72.2995 nan -nan nan nan
72.3995 -nan nan -nan -nan
72.4995 nan -nan nan nan
72.5995 -nan nan -nan -nan
72.6995 nan -nan nan nan
72.7995 -nan nan -nan -nan
72.8995 nan -nan nan nan
72.9995 -nan nan -nan -nan
73.0995 nan -nan nan nan
73.1995 -nan nan -nan -nan
73.2995 nan -nan nan nan
73.3995 -nan nan -nan -nan
73.4995 nan -nan nan nan
73.5994 -nan nan -nan -nan
73.6994 nan -nan nan nan
73.7994 -nan nan -nan -nan
73.8994 nan -nan nan nan
73.9994 -nan nan -nan -nan
74.0994 nan -nan nan nan
74.1994 -nan nan -nan -nan
74.2994 nan -nan nan nan
74.3994 -nan nan -nan -nan
74.4994 nan -nan nan nan
74.5994 -nan nan -nan -nan
74.6994 nan -nan nan nan
74.7994 -nan nan -nan -nan
74.8994 nan -nan nan nan
74.9994 -nan nan -nan -nan
75.0994 nan -nan nan nan
75.1994 -nan nan -nan -nan
75.2994 nan -nan nan nan
75.3994 -nan nan -nan -nan
75.4994 nan -nan nan nan
75.5994 -nan nan -nan -nan
75.6994 nan -nan nan nan
75.7994 -nan nan -nan -nan
75.8994 nan -nan nan nan
75.9994 -nan nan -nan -nan
76.0994 nan -nan nan nan
76.1994 -nan nan -nan -nan
76.2994 nan -nan nan nan
76.3994 -nan nan -nan -nan
76.4994 nan -nan nan nan
76.5994 -nan nan -nan -nan
76.6994 nan -nan nan nan
76.7994 -nan nan -nan -nan
76.8994 nan -nan nan nan
76.9994 -nan nan -nan -nan
77.0994 nan -nan nan nan
77.1994 -nan nan -nan -nan
77.2994 nan -nan nan nan
77.3994 -nan nan -nan -nan
77.4994 nan -nan nan nan
77.5994 -nan nan -nan -nan
77.6994 nan -nan nan nan
77.7994 -nan nan -nan -nan
77.8994 nan -nan nan nan
77.9994 -nan nan -nan -nan
78.0994 nan -nan nan nan
78.1994 -nan nan -nan -nan
78.2994 nan -nan nan nan
78.3994 -nan nan -nan -nan
78.4994 nan -nan nan nan
78.5994 -nan nan -nan -nan
78.6994 nan -nan nan nan
78.7994 -nan nan -nan -nan
78.8994 nan -nan nan nan
78.9994 -nan nan -nan -nan
79.0994 nan -nan nan nan
79.1994 -nan nan -nan -nan
79.2994 nan -nan nan nan
79.3994 -nan nan -nan -nan
79.4994 nan -nan nan nan
79.5994 -nan nan -nan -nan
79.6994 nan -nan nan nan
79.7994 -nan nan -nan -nan
79.8994 nan -nan nan nan
79.9994 -nan nan -nan -nan
80.0993 nan -nan nan nan
80.1993 -nan nan -nan -nan
80.2993 nan -nan nan nan
80.3993 -nan nan -nan -nan
80.4993 nan -nan nan nan
80.5993 -nan nan -nan -nan
80.6993 nan -nan nan nan
80.7993 -nan nan -nan -nan
80.8993 nan -nan nan nan
80.9993 -nan nan -nan -nan
81.0993 nan -nan nan nan
81.1993 -nan nan -nan -nan
81.2993 nan -nan nan nan
81.3993 -nan nan -nan -nan
81.4993 nan -nan nan nan
81.5993 -nan nan -nan -nan
81.6993 nan -nan nan nan
81.7993 -nan nan -nan -nan
81.8993 nan -nan nan nan
81.9993 -nan nan -nan -nan
82.0993 nan -nan nan nan
82.1993 -nan nan -nan -nan
82.2993 nan -nan nan nan
82.3993 -nan nan -nan -nan
82.4993 nan -nan nan nan
82.5993 -nan nan -nan -nan
82.6993 nan -nan nan nan
82.7993 -nan nan -nan -nan
82.8993 nan -nan nan nan
82.9993 -nan nan -nan -nan
83.0993 nan -nan nan nan
83.1993 -nan nan -nan -nan
83.2993 nan -nan nan nan
83.3993 -nan nan -nan -nan
83.4993 nan -nan nan nan
83.5993 -nan nan -nan -nan
83.6993 nan -nan nan nan
83.7993 -nan nan -nan -nan
83.8993 nan -nan nan nan
83.9993 -nan nan -nan -nan
84.0993 nan -nan nan nan
84.1993 -nan nan -nan -nan
84.2993 nan -nan nan nan
84.3993 -nan nan -nan -nan
84.4993 nan -nan nan nan
84.5993 -nan nan -nan -nan
84.6993 nan -nan nan nan
84.7993 -nan nan -nan -nan
84.8993 nan -nan nan nan
84.9993 -nan nan -nan -nan
85.0993 nan -nan nan nan
85.1993 -nan nan -nan -nan
85.2993 nan -nan nan nan
85.3993 -nan nan -nan -nan
85.4993 nan -nan nan nan
85.5993 -nan nan -nan -nan
85.6993 nan -nan nan nan
85.7993 -nan nan -nan -nan
85.8993 nan -nan nan nan
85.9993 -nan nan -nan -nan
86.0993 nan -nan nan nan
86.1993 -nan nan -nan -nan
86.2993 nan -nan nan nan
86.3993 -nan nan -nan -nan
86.4993 nan -nan nan nan
86.5993 -nan nan -nan -nan
86.6992 nan -nan nan nan
86.7992 -nan nan -nan -nan
86.8992 nan -nan nan nan
86.9992 -nan nan -nan -nan
87.0992 nan -nan nan nan
87.1992 -nan nan -nan -nan
87.2992 nan -nan nan nan
87.3992 -nan nan -nan -nan
87.4992 nan -nan nan nan
87.5992 -nan nan -nan -nan
87.6992 nan -nan nan nan
87.7992 -nan nan -nan -nan
87.8992 nan -nan nan nan
87.9992 -nan nan -nan -nan
88.0992 nan -nan nan nan
88.1992 -nan nan -nan -nan
88.2992 nan -nan nan nan
88.3992 -nan nan -nan -nan
88.4992 nan -nan nan nan
88.5992 -nan nan -nan -nan
88.6992 nan -nan nan nan
